Complain Number,Date,Time,Day,Main Street,Second Street,Quadrant,On Street,Latitude,Longitude,Type,# Injured,# Vehicles,# Bikes
12110033,8/5,1918,Sun,SEVENTH ST,F ST,NW,At Intersect,-77.021917,38.897281,Left Turn Hit Ped.,1,1,1
12110714,8/7,0845,Tue,THIRTEENTH ST,K ST,NW,Within 100ft,-77.029627,38.902414,19,1,2,1
12111065,8/7,1947,Tue,CONNECTICUT AVE,NEWARK ST,NW,At Intersect,-77.05765,38.934072,19,1,1,1
12111245,8/8,0710,Wed,FOURTH ST,NEW YORK AVE,NW,At Intersect,-77.016178,38.90488,Right Turn Hit Ped.,1,2,1
12111509,8/8,0800,Thu,G ST,THIRD ST,SW,"",-77.015208,38.881144,"",,,
12111565,8/8,1924,Wed,SHERMAN AVE,MORTON ST,NW,Within 100ft,-77.026709,38.931743,19,0,2,1
12111825,8/9,1035,Thu,SEVENTEENTH ST,L ST,NW,Within 100ft,-77.038497,38.903742,19,1,1,1
12111986,8/7,1755,Tue,EIGHTEENTH ST,FLORIDA AVE,NW,Within 100ft,-77.04165,38.916802,Other,1,2,1
12111987,8/9,1725,Thu,CEDAR ST,CARROLL ST,NW,At Intersect,-77.016271,38.975031,Side Swiped,0,2,1
12112437,8/10,1352,Fri,LINCOLN RD,R ST,NE,Within 100ft,-77.008539,38.91259,Side Swiped,0,1,1
12112579,8/10,1805,Fri,L ST,TWENTIETH ST,NW,Not at Inter,-77.044901,38.903742,19,1,2,1
12113206,8/11,2050,Sat,MISSISSIPPI AVE,WHEELER RD,SE,At Intersect,-76.993558,38.838804,19,1,1,1
12113400,8/12,0422,Sun,EIGHTEENTH ST,WYOMING AVE,NW,Not at Inter,-77.041677,38.918723,Side Swiped,1,2,1
12113468,8/12,1150,Sun,RIVER RD,WISCONSIN AVE,NW,At Intersect,-77.080089,38.948664,Right Turn Hit Ped.,1,1,1
12113573,8/11,1630,Sat,RHODE ISLAND AVE,WASHINGTON PL,NE,Not at Inter,-76.993899,38.921943,Left Turn Hit Ped.,1,1,1
12113854,8/13,0845,Mon,THIRD ST,K ST,NW,At Intersect,-77.01519,38.878412,Left Turn Hit Ped.,1,2,1
12113955,8/13,1310,Mon,CONNECTICUT AVE,PORTER ST,NW,Within 100ft,-77.0592,38.936814,"",1,1,1
12114044,8/13,1638,Mon,FOURTH ST,V ST,NE,Not at Inter,-77.017719,38.918374,19,1,2,1
12114064,8/13,1720,Mon,THIRD ST,D ST,NW,At Intersect,-77.015168,38.885072,Right Turn Hit Ped.,0,1,1
12114469,8/14,1411,Tue,WESTERN AVE,JENIFER ST,NW,At Intersect,-77.087591,38.959363,Right Turn Hit Ped.,1,2,1
12115477,8/16,1342,Thu,SIXTEENTH ST,SHEPHERD ST,NW,At Intersect,-77.036469,38.939732,19,1,2,1
12115738,8/16,2216,Thu,FOURTEENTH ST,Q ST,NW,At Intersect,-77.031948,38.911133,19,1,2,1
12115992,8/17,1210,Fri,FIFTEENTH ST,L ST,NW,Not at Inter,-77.034578,38.903742,Side Swiped,1,2,1
12116512,8/18,1133,Sat,GEORGIA AVE,PEABODY ST,NW,N/A,-77.027887,38.962702,19,1,1,1
12116575,8/18,1401,Sat,SEVENTH ST,MASSACHUSETTS AVE,NW,At Intersect,-77.021917,38.902104,Right Angle,0,2,1
12116624,8/18,1543,Sat,SIXTH ST,D ST,SE,At Intersect,-77.019929,38.884833,19,1,2,1
12116708,8/18,1820,Sat,SEVENTH ST,N ST,NW,Within 100ft,-77.081958,38.840373,Right Angle,0,2,1
12116783,8/18,2115,Sat,ELEVENTH ST,M ST,NW,At Intersect,-77.027041,38.905651,Other,1,2,1
12117197,8/19,1230,Sun,M ST,THIRTY FOURTH ST,NW,Not at Inter,-77.067831,38.905062,Side Swiped,1,2,1
12117578,8/20,1519,Mon,THIRD ST,Q ST,NW,Within 100ft,-77.015177,38.911124,19,1,1,1
12117783,8/20,1929,Mon,MOUNT VIEW PL,MAPLE VIEW PL,SE,Not at Inter,-76.989621,38.862983,Parked Vehicle,0,1,1
12118205,8/21,1652,Tue,RALEIGH ST,ESTHER PL,SE,Not at Inter,-77.000678,38.844012,Straight Hit Ped.,1,1,1
12118278,8/21,1733,Tue,BRENTWOOD RD,RHODE ISLAND AVE,NE,At Intersect,-76.988071,38.923732,Straight Hit Ped.,1,1,1
12118374,8/21,2207,Tue,FLORIDA AVE,THIRTEENTH ST,NW,Within 100ft,-77.02968,38.920504,19,1,2,1
12118493,8/22,0640,Wed,THIRTY SEVENTH ST,MANOR PL,NW,At Intersect,-77.07295,38.918732,Left Turn Hit Ped.,1,1,1
12118668,8/22,1527,Wed,NINTH ST,M ST,SE,At Intersect,-77.02399,38.905651,Right Angle,1,2,1
12119043,8/23,0925,Thu,RHODE ISLAND AVE,SIXTH ST,NW,At Intersect,-77.019898,38.913002,Right Angle,1,2,1
12119064,8/23,1010,Thu,H ST,CONNECTICUT AVE,NW,At Intersect,-77.037979,38.900204,Right Angle,1,1,1
12119236,8/23,1630,Thu,FOURTEENTH ST,MONROE ST,NW,Not at Inter,-77.032718,38.931154,Parked Vehicle,1,2,1
12119308,8/23,1906,Thu,M ST,POTOMAC ST,NW,At Intersect,-77.065298,38.905133,19,0,1,1
12119819,8/24,1724,Fri,THIRTIETH ST,N ST,NW,At Intersect,-77.081958,38.840373,19,1,2,1
12119843,8/24,1917,Fri,INDEPENDENCE AVE,FIRST ST,SE,At Intersect,-77.012179,38.887552,Right Angle,1,2,1
12120659,8/26,0946,Sun,P ST,SIXTEENTH ST,NW,Not at Inter,-77.036518,38.909641,Side Swiped,2,3,2
12120680,8/26,1049,Sun,P ST,FOURTEENTH ST,NW,Within 100ft,-77.031948,38.909663,19,1,2,1
12120897,8/26,2241,Sun,DELAWARE AVE,CONSTITUTION AVE,NE,At Intersect,-77.008167,38.892033,Right Turn Hit Veh.,1,2,1
12121183,8/27,1530,Mon,TWENTY EIGHTH ST,PENNSYLVANIA AVE,SE,Within 100ft,-77.057057,38.904973,Back Hit Moving Veh.,3,3,1
12121569,8/28,1124,Tue,FOURTEENTH ST,L ST,NW,Within 100ft,-77.03197,38.903751,Side Swiped,1,3,1
